matched_player_key,draft_year,source_site,mock_pick,actual_pick,mock_player,actual_player,sentence_clean,llm_scouting_relevance,is_scouting_sentence,llm_trait_families,llm_trait_quality,llm_translation_caveat,llm_true_negative_trait,llm_risk_or_context,llm_confidence,llm_short_reason,source_url,canonical_url,sentence_source_group,sentence_source_file,row_id
ryan conwell,2026,nbadraft_net,44,,Ryan Conwell,Ryan Conwell,"Ryan Conwell measured 6′ 2.00” barefoot, 214.8 lbs, 6′ 7.00” wingspan, 8′ 0.50” standing reach, 32.5 no step vertical, and 39.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,43
izaiyah nelson,2026,nbadraft_net,45,,Izaiyah Nelson,Izaiyah Nelson,"Izaiyah Nelson measured 6′ 8.25” barefoot, 219.4 lbs, 7′ 2.50” wingspan, 9′ 0.00” standing reach, 32.5 no step vertical, and 38.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,44
richie saunders,2026,nbadraft_net,52,,Richie Saunders,Richie Saunders,"Richie Saunders measured 6′ 5.00” barefoot, 204.8 lbs, 6′ 8.75” wingspan, 8′ 6.50” standing reach, but did not complete athletic testing at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements but lacks athletic testing results,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,51
tobi lawal,2026,nbadraft_net,53,,Tobi Lawal,Tobi Lawal,"Tobi Lawal measured 6′ 7.25” barefoot, 214.4 lbs, 6′ 10.50” wingspan, 8′ 8.50” standing reach, 40.0 no step vertical, and 45.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,52
rafael castro,2026,nbadraft_net,54,,Rafael Castro,Rafael Castro,"Rafael Castro measured 6′ 9.00” barefoot, 224.4 lbs, 7′ 1.25” wingspan, 9′ 1.50” standing reach, 31.0 no step vertical, and 36.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,53
tobe awaka,2026,nbadraft_net,57,,Tobe Awaka,Tobe Awaka,"Tobe Awaka measured 6′ 8.00” barefoot, 261.4 lbs, 7′ 2.25” wingspan, 8′ 9.00” standing reach, 32.5 no step vertical, and 37.5 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,56
emanuel sharp,2026,nbadraft_net,58,,Emanuel Sharp,Emanuel Sharp,"Emanuel Sharp measured 6′ 2.75” barefoot, 208.4 lbs, 6′ 3.00” wingspan, 8′ 2.50” standing reach, 27.5 no step vertical, and 33.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,57
nick martinelli,2026,nbadraft_net,59,,Nick Martinelli,Nick Martinelli,"Nick Martinelli measured 6′ 6.50” barefoot, 223.6 lbs, 6′ 10.00” wingspan, 8′ 8.50” standing reach, 26.5 no step vertical, and 33.0 max vertical at the 2026 NBA Draft Combine.",scouting,True,athleticism_tools,not_discussed,False,False,none,0.9,Provides physical measurements from the NBA Draft Combine,https://www.nbadraft.net/nba-mock-drafts/?year-mock=2026,https://www.nbadraft.net/nba-mock-drafts/,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,58
zuby ejiofor,2026,espn,29,,Zuby Ejiofor,Zuby Ejiofor,"In the middle of this current competitive window, Cleveland can justify picking for need at this slot, with a number of proven veteran college players probably available at this stage of the draft.",scouting,True,,not_discussed,False,False,none,0.8,Discussion about draft pick being based on team need rather than player's individual skills,https://www.espn.com/nba/story/_/id/48790115/2026-nba-mock-draft-projecting-60-picks-post-combine-peterson-dybantsa-boozer,https://www.espn.com/nba/story/_/id/48790115/2026-nba-mock-draft-projecting-60-picks-post-combine-peterson-dybantsa-boozer,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,88
cam carr,2026,sbnation,24,,Cam Carr,Cam Carr,"Carr is drawing interest in the 10-20 range, and he’ll probably go higher than this.",scouting,True,production_stats,positive,False,False,none,0.8,Mock draft pick indicates high potential draft position,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,143
cam carr,2026,sbnation,24,,Cam Carr,Cam Carr,"He has obvious utility with an outstanding intersection of length (7’1 wingspan), outside shooting, and vertical athleticism (44 dunks, 3.9 percent block rate) as a 6’5 wing.",scouting,True,athleticism_tools|shooting,positive,False,False,none,0.9,"Outstanding length, shooting, and vertical athleticism as a 6'5 wing",https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,143
cam carr,2026,sbnation,24,,Cam Carr,Cam Carr,I’m a bit lower on Carr because I question his shot-creation and passing while wondering how his thin frame will hold up defensively.,scouting,True,feel_iq_passing|shooting|athleticism_tools|defense,negative,True,False,none,0.8,"Doubts about shot-creation and passing, thin frame for defense",https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,143
cam carr,2026,sbnation,24,,Cam Carr,Cam Carr,There feels like a talent drop-off after these first 24 players in this mock go off the board.,unclear,False,,not_discussed,False,False,none,0.5,"Discussion about draft order, not player traits",https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,143
zuby ejiofor,2026,sbnation,27,,Zuby Ejiofor,Zuby Ejiofor,"Ejiofor has been the busiest man on the workout circuit with 13 confirmed team workouts so far , including one with the Celtics.",scouting,True,size_frame|production_stats,not_discussed,False,False,none,0.8,Indicates high workout activity and potential team interest,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,146
zuby ejiofor,2026,sbnation,27,,Zuby Ejiofor,Zuby Ejiofor,"John’s big man might be a tad undersized for a center, but he still has a big frame after measuring at 6’7.5 barefoot and 245 pounds with a 7’2 wingspan.",scouting,True,size_frame|athleticism_tools,positive,False,False,none,0.8,"Zuby Ejiofor has a big frame (6'7.5, 245 lbs, 7'2 wingspan), despite being undersized for a center",https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,146
zuby ejiofor,2026,sbnation,27,,Zuby Ejiofor,Zuby Ejiofor,"While he’s not a proven outside shooter yet, Ejiofor is comfortable operating with the ball in his hands as a playmaker or scoring around the rim.",scouting,True,creation_handle|finishing_touch,positive,False,False,none,0.8,Ejiofor comfortable operating with ball as playmaker or scoring around rim,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,146
zuby ejiofor,2026,sbnation,27,,Zuby Ejiofor,Zuby Ejiofor,"He moves well for someone who is this strong, and he always showed a strong feel for the game with the Johnnies.",scouting,True,feel_iq_passing,positive,False,False,none,0.8,Demonstrates strong feel for the game,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,146
zuby ejiofor,2026,sbnation,27,,Zuby Ejiofor,Zuby Ejiofor,He should be a premium target for every team in the mid-20s.,scouting,True,production_stats,positive,False,False,none,0.8,Indicates high draft stock in mid-20s range,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,https://www.sbnation.com/nba/1116972/nba-mock-draft-2026-rumors-workouts-predictions,future_2026_llm_sentence_labels_newer_085033,sentenceish_llm_enhanced_mistral_latest_canonicalized_llm_2026_urls_mistral_20260609_085033.csv,146
carsen edwards,2019,,32,33.0,Carsen Edwards,,"Notes: Measured 6’0 without shoes, 6’1.5 with shoes, 195 lbs, with a 6’5 wingspan and 7’9.75 standing reach at the June 2017 USA U19 tryouts",scouting,True,size_frame,not_discussed,False,False,none,0.9,Provides physical measurements from USA U19 tryouts,,,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1071
carsen edwards,2019,nbadraft_net,32,33.0,Carsen Edwards,Carsen Edwards,"Notes: Measured 6’0 without shoes, 6’1.5 with shoes, 195 lbs, with a 6’5 wingspan and 7’9.75 standing reach at the June 2017 USA U19 tryouts",scouting,True,size_frame|athleticism_tools,not_discussed,False,False,none,0.8,Provides physical measurements from USA U19 tryouts,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,788
dash daniels,2025,nbadraft_net,21,,Dash Daniels,,"Notes: Measured: 6’5″ barefoot, 8’5″ standing reach, 199 lbs, 6’9.75″ wingspan, 29″ standing vert, 34.5″ max vert at the 2025 Basketball Without Borders …",scouting,True,athleticism_tools,not_discussed,False,False,none,0.8,"Measurables: 6'5"", 8'5"" reach, 199 lbs, 6'9.75"" wingspan, 29"" standing vert, 34.5"" max vert at the 2025 Basketball Without Borders",,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1246
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,6’5 wing … Good length with a 6’8.5 wingspan and big hands … Massive frame with broad shoulders and filled out with strength.,scouting,True,athleticism_tools,positive,False,False,none,0.8,"Excellent length (6'8.5 wingspan), big hands, and a massive frame with broad shoulders and strength.",,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,"Plays physical, uses his body well and plays through contact.",scouting,True,athleticism_tools,positive,False,False,none,0.8,Demonstrates physicality and body control in contact situations,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Draws a lot of fouls and good free throw shooter.,scouting,True,shooting,positive,False,False,none,0.8,Effective foul drawer and reliable free throw shooter,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Shot 5.7 free throws per game on 88.2% FT% at the NBPA Top 100 in 2024 … Explosive and powerful athlete.,scouting,True,athleticism_tools,positive,False,False,none,0.8,High FT% and athleticism show potential,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Gets off the ground very well and doesn’t take much time to load up his jump.,scouting,True,athleticism_tools,positive,False,False,none,0.8,Excellent vertical jump and quick loading for takeoff,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Quick first step … Changes direction and speed well with the ball.,scouting,True,athleticism_tools,positive,False,False,none,0.8,Demonstrates agility and speed with the ball,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Solid slashing ability and can get to the rim in the half-court.,scouting,True,finishing_touch,positive,False,False,none,0.8,Demonstrates effective slashing ability and can penetrate the paint in half-court situations,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,"Can be difficult for defenders to keep him out of the paint … Can bully and post up smaller guards, showing a reliable fadeaway … Efficient scorer.",scouting,True,athleticism_tools|finishing_touch,positive,False,False,none,0.8,Strong post-up game and efficient scoring in the paint,,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
tounde yessoufou,2025,nbadraft_net,23,,Tounde Yessoufou,,Averaged a 3 rd best 22.4 points per game on 53.6% FG% at the NBPA Top 100 in 2024 … Solid court vision and passing ability … Plays bigger than his height and good rebounder for position on both ends.,scouting,True,feel_iq_passing|athleticism_tools,positive,False,False,none,0.8,"Strong scorer (22.4 ppg, 53.6% FG%) with solid vision, plays bigger than height, good rebounder for position.",,https://www.nbadraft.net/nba-mock-drafts/,historical_llm_sentence_labels,sentenceish_llm_enhanced_mistral_latest_historical_plus_recovered_sources.csv,1248
